戎	5.54	0.044	0.044	0.000	0.000	0.000
动	0.00	0.000	0.000	0.000	0.000	0.000
扛	0.00	0.000	0.000	0.000	0.000	0.000
寺	5.64	0.001	0.001	0.021	0.030	0.021
吉	0.00	0.000	0.000	0.000	0.000	0.000
扣	0.00	0.000	0.000	0.000	0.000	0.000
考	11.70	0.094	0.094	0.000	0.000	0.000
托	7.87	0.000	0.000	0.000	0.063	0.063
老	6.07	0.000	0.000	0.000	0.060	0.000
巩	30.26	0.242	0.242	0.000	0.000	0.000
圾	14.13	0.000	0.000	0.113	0.000	0.113
执	0.00	0.000	0.000	0.000	0.000	0.000
扩	0.00	0.000	0.000	0.000	0.000	0.000
扫	0.00	0.000	0.000	0.000	0.000	0.000
地	3.25	0.000	0.000	0.000	0.026	0.026
场	0.00	0.000	0.000	0.000	0.000	0.000
扬	0.00	0.000	0.000	0.000	0.000	0.000
耳	6.79	0.000	0.000	0.000	0.054	0.054
芋	1.13	0.000	0.000	0.000	0.009	0.009
共	0.00	0.000	0.000	0.000	0.000	0.000
芒	22.66	0.153	0.103	0.037	0.008	0.008
亚	0.00	0.000	0.000	0.000	0.000	0.000
芝	10.41	0.033	0.033	0.018	0.039	0.039
朽	10.26	0.082	0.082	0.000	0.000	0.000
朴	8.93	0.071	0.071	0.000	0.000	0.000
机	0.00	0.000	0.000	0.000	0.000	0.000
权	4.39	0.035	0.035	0.000	0.000	0.000
过	0.00	0.000	0.000	0.000	0.000	0.000
臣	8.98	0.072	0.072	0.000	0.000	0.000
吏	0.00	0.000	0.000	0.000	0.000	0.000
再	2.66	0.000	0.026	0.000	0.000	0.000
协	0.00	0.000	0.000	0.000	0.000	0.000
西	5.50	0.044	0.044	0.000	0.000	0.000
压	0.00	0.000	0.000	0.000	0.000	0.000
厌	0.00	0.000	0.000	0.000	0.000	0.000
戌	2.57	0.021	0.021	0.000	0.000	0.000
在	0.00	0.000	0.000	0.000	0.000	0.000
百	0.00	0.000	0.000	0.000	0.000	0.000
有	2.18	0.000	0.000	0.000	0.021	0.000
存	0.82	0.007	0.007	0.000	0.000	0.000
而	0.00	0.000	0.000	0.000	0.000	0.000
页	0.00	0.000	0.000	0.000	0.000	0.000
匠	12.43	0.100	0.100	0.000	0.000	0.000
夸	1.60	0.013	0.013	0.000	0.000	0.000
夺	0.00	0.000	0.000	0.000	0.000	0.000
灰	39.45	0.290	0.214	0.021	0.009	0.009
达	22.44	0.088	0.088	0.074	0.039	0.039
列	12.31	0.000	0.000	0.121	0.000	0.000
死	15.59	0.000	0.000	0.112	0.114	0.000
成	0.00	0.000	0.000	0.000	0.000	0.000
夹	0.00	0.000	0.000	0.000	0.000	0.000
夷	5.48	0.044	0.044	0.000	0.000	0.000
轨	0.00	0.000	0.000	0.000	0.000	0.000
邪	9.74	0.053	0.053	0.005	0.023	0.023
尧	0.00	0.000	0.000	0.000	0.000	0.000
划	0.00	0.000	0.000	0.000	0.000	0.000
迈	10.16	0.081	0.081	0.000	0.000	0.000
毕	0.00	0.000	0.000	0.000	0.000	0.000
至	6.53	0.052	0.052	0.000	0.000	0.000
此	2.60	0.000	0.000	0.000	0.025	0.000
贞	0.00	0.000	0.000	0.000	0.000	0.000
师	0.00	0.000	0.000	0.000	0.000	0.000
尘	0.00	0.000	0.000	0.000	0.000	0.000
尖	11.07	0.000	0.000	0.089	0.089	0.000
劣	17.95	0.000	0.000	0.144	0.144	0.000
光	0.00	0.000	0.000	0.000	0.000	0.000
当	0.00	0.000	0.000	0.000	0.000	0.000
早	0.00	0.000	0.000	0.000	0.000	0.000
吁	0.00	0.000	0.000	0.000	0.000	0.000
吐	0.00	0.000	0.000	0.000	0.000	0.000
吓	15.21	0.122	0.122	0.000	0.000	0.000
虫	5.52	0.044	0.044	0.000	0.000	0.000
曲	0.00	0.000	0.000	0.000	0.000	0.000
团	0.00	0.000	0.000	0.000	0.000	0.000
吕	0.00	0.000	0.000	0.000	0.000	0.000
同	0.00	0.000	0.000	0.000	0.000	0.000
吊	0.00	0.000	0.000	0.000	0.000	0.000
吃	0.00	0.000	0.000	0.000	0.000	0.000
因	7.21	0.058	0.058	0.000	0.000	0.000
吸	15.65	0.045	0.045	0.050	0.045	0.050
吗	0.00	0.000	0.000	0.000	0.000	0.000
吆	0.00	0.000	0.000	0.000	0.000	0.000
屿	0.00	0.000	0.000	0.000	0.000	0.000
屹	6.96	0.031	0.031	0.017	0.013	0.013
岁	0.00	0.000	0.000	0.000	0.000	0.000
帆	1.66	0.000	0.000	0.000	0.000	0.016
回	0.00	0.000	0.000	0.000	0.000	0.000
岂	0.00	0.000	0.000	0.000	0.000	0.000
则	0.00	0.000	0.000	0.000	0.000	0.000
刚	0.00	0.000	0.000	0.000	0.000	0.000
网	12.60	0.101	0.101	0.000	0.000	0.000
肉	0.00	0.000	0.000	0.000	0.000	0.000
年	0.00	0.000	0.000	0.000	0.000	0.000
朱	0.00	0.000	0.000	0.000	0.000	0.000
先	0.00	0.000	0.000	0.000	0.000	0.000
丢	0.00	0.000	0.000	0.000	0.000	0.000
廷	7.58	0.061	0.061	0.000	0.000	0.000
舌	4.71	0.000	0.000	0.000	0.046	0.000
竹	0.00	0.000	0.000	0.000	0.000	0.000
迁	12.18	0.025	0.025	0.055	0.032	0.032
乔	0.00	0.000	0.000	0.000	0.000	0.000
迄	22.93	0.039	0.039	0.071	0.094	0.094
伟	0.00	0.000	0.000	0.000	0.000	0.000
传	0.00	0.000	0.000	0.000	0.000	0.000
乒	0.00	0.000	0.000	0.000	0.000	0.000
乓	0.00	0.000	0.000	0.000	0.000	0.000
休	0.00	0.000	0.000	0.000	0.000	0.000
伍	2.23	0.000	0.000	0.022	0.000	0.000
